loc,총인구수,조출생률,지역
1100000000,9428372,4.639295098,서울특별시
1111000000,141379,3.40220259,서울특별시
1111051500,11628,4.72996216,서울특별시
1111053000,9087,2.971277649,서울특별시
1111054000,2331,2.574002574,서울특별시
1111055000,9241,2.38069473,서울특별시
1111056000,17663,3.566778011,서울특별시
1111057000,8023,4.113174623,서울특별시
1111058000,9816,5.093724531,서울특별시
1111060000,3941,3.552397869,서울특별시
1111061500,6728,2.675386445,서울특별시
1111063000,5300,1.509433962,서울특별시
1111064000,7101,2.534854246,서울특별시
1111065000,16143,2.539800533,서울특별시
1111067000,4646,2.367628067,서울특별시
1111068000,7706,2.595380223,서울특별시
1111069000,6449,5.892386416,서울특별시
1111070000,5769,4.160166407,서울특별시
1111071000,9807,3.364943408,서울특별시
1114000000,120437,5.01507012,서울특별시
1114052000,2244,8.021390374,서울특별시
1114054000,4544,5.501760563,서울특별시
1114055000,2739,4.746257758,서울특별시
1114057000,3973,4.027183489,서울특별시
1114058000,4571,1.750164078,서울특별시
1114059000,5202,2.306805075,서울특별시
1114060500,1661,5.418422637,서울특별시
1114061500,7618,3.281701234,서울특별시
1114062500,13474,3.636633516,서울특별시
1114063500,16395,5.611466911,서울특별시
1114064500,13199,4.924615501,서울특별시
1114065000,10180,5.500982318,서울특별시
1114066500,10024,4.788507582,서울특별시
1114067000,12604,5.712472231,서울특별시
1114068000,12009,7.994004497,서울특별시
1117000000,218650,5.245826664,서울특별시
1117051000,16321,4.105140616,서울특별시
1117052000,9016,2.661934339,서울특별시
1117053000,7100,1.830985915,서울특별시
1117055500,19094,3.508955693,서울특별시
1117056000,17144,7.466168922,서울특별시
1117057000,13678,5.55636789,서울특별시
1117058000,10743,5.585032114,서울특별시
1117059000,11553,4.760668225,서울특별시
1117062500,21243,7.67311585,서울특별시
1117063000,25070,6.461906661,서울특별시
1117064000,8027,8.845147627,서울특별시
1117065000,6117,3.760013078,서울특별시
1117066000,8731,5.268583209,서울특별시
1117068500,19508,6.305105598,서울특별시
1117069000,12590,3.57426529,서울특별시
1117070000,12715,1.887534408,서울특별시
1120000000,281000,6.241992883,서울특별시
1120052000,16304,7.237487733,서울특별시
1120053500,26420,5.450416351,서울특별시
1120054000,22034,6.081510393,서울특별시
1120055000,11981,4.173274351,서울특별시
1120056000,13676,5.995905235,서울특별시
1120057000,23056,7.546842471,서울특별시
1120058000,15047,5.715425002,서울특별시
1120059000,15056,7.438894793,서울특별시
1120061500,22253,7.10016627,서울특별시
1120062000,14098,7.09320471,서울특별시
1120064500,25585,8.481532148,서울특별시
1120065000,16089,6.277580956,서울특별시
1120066000,12123,6.681514477,서울특별시
1120067000,15256,4.785002622,서울특별시
1120069000,10291,5.733164901,서울특별시
1120072000,10081,4.364646364,서울특별시
1120079000,11650,1.802575107,서울특별시
1121500000,337416,4.021741708,서울특별시
1121571000,23437,1.79203823,서울특별시
1121573000,19425,3.346203346,서울특별시
1121574000,15299,4.902281195,서울특별시
1121575000,20999,3.523977332,서울특별시
1121576000,15945,4.201944183,서울특별시
1121577000,28035,3.317281969,서울특별시
1121578000,11180,5.277280859,서울특별시
1121581000,34168,3.073050808,서울특별시
1121582000,21862,3.384868722,서울특별시
1121583000,23946,5.22007851,서울특별시
1121584000,27553,5.66181541,서울특별시
1121584700,17926,3.626018074,서울특별시
1121585000,23387,3.891050584,서울특별시
1121586000,26043,3.53261913,서울특별시
1121587000,28211,6.167806884,서울특별시
1123000000,336644,4.423070068,서울특별시
1123053600,34559,3.530194739,서울특별시
1123054500,24207,3.511381005,서울특별시
1123056000,28660,4.361479414,서울특별시
1123057000,18185,4.784162772,서울특별시
1123060000,28137,7.179159114,서울특별시
1123061000,27793,5.756845249,서울특별시
1123065000,38068,5.122412525,서울특별시
1123066000,32387,5.681291876,서울특별시
1123070500,18610,3.062869425,서울특별시
1123071000,10546,2.275744358,서울특별시
1123072000,13931,5.024764913,서울특별시
1123073000,23829,2.853665701,서울특별시
1123074000,18055,2.326225422,서울특별시
1123075000,19677,3.455811353,서울특별시
1126000000,385318,4.907634733,서울특별시
1126052000,23849,4.654283198,서울특별시
1126054000,18463,3.141417971,서울특별시
1126055000,14714,7.951610711,서울특별시
1126056500,33144,4.827419744,서울특별시
1126057000,21473,5.774693802,서울특별시
1126057500,24188,4.258309906,서울특별시
1126058000,23551,5.902084837,서울특별시
1126059000,20252,7.505431562,서울특별시
1126060000,19117,5.754040906,서울특별시
1126061000,24492,4.777070064,서울특별시
1126062000,34130,3.896864928,서울특별시
1126063000,18375,4.136054422,서울특별시
1126065500,35511,6.251584016,서울특별시
1126066000,15938,2.823440833,서울특별시
1126068000,38054,3.52131182,서울특별시
1126069000,20067,4.484975333,서울특별시
1129000000,430397,4.481908563,서울특별시
1129052500,16272,4.793510324,서울특별시
1129055500,22456,3.740648379,서울특별시
1129057500,15075,2.122719735,서울특별시
1129058000,14369,5.497946969,서울특별시
1129059000,23558,5.051362594,서울특별시
1129060000,14997,2.200440088,서울특별시
1129061000,16322,4.962627129,서울특별시
1129062000,17977,5.117650331,서울특별시
1129063000,22687,4.495966853,서울특별시
1129064000,15093,3.511561651,서울특별시
1129065000,24431,4.707134378,서울특별시
1129066000,34845,4.620462046,서울특별시
1129068500,21582,4.818830507,서울특별시
1129070500,38172,4.479723357,서울특별시
1129071500,25950,4.701348748,서울특별시
1129072500,19144,3.65649812,서울특별시
1129076000,23889,3.97672569,서울특별시
1129077000,13389,4.929419673,서울특별시
1129078000,15728,6.675991862,서울특별시
1129081000,34461,4.846057863,서울특별시
1130500000,293660,3.010284002,서울특별시
1130553400,22910,3.273679616,서울특별시
1130553500,21136,2.081756245,서울특별시
1130554500,29304,3.753753754,서울특별시
1130555500,25584,2.657911194,서울특별시
1130557500,30830,4.703211158,서울특별시
1130559500,18117,2.980625931,서울특별시
1130560300,15308,1.698458322,서울특별시
1130560800,16383,3.11298297,서울특별시
1130561500,20265,2.763385147,서울특별시
1130562500,20908,2.63057203,서울특별시
1130563500,22970,2.089682194,서울특별시
1130564500,20244,3.704801423,서울특별시
1130566000,29701,2.592505303,서울특별시
1132000000,311694,3.641391878,서울특별시
1132051100,24359,3.571575188,서울특별시
1132051200,28674,4.324475134,서울특별시
1132051300,13546,2.952901225,서울특별시
1132051400,26016,4.189729397,서울특별시
1132051500,24226,4.458020309,서울특별시
1132052100,20470,2.540302882,서울특별시
1132052200,26231,4.269757158,서울특별시
1132066000,21015,3.33095408,서울특별시
1132067000,18324,4.311285745,서울특별시
1132068000,16774,4.113509002,서울특별시
1132068100,18307,3.76905009,서울특별시
1132069000,28172,3.052676416,서울특별시
1132070000,19152,2.715121136,서울특별시
1132071000,26428,2.951415166,서울특별시
1135000000,503734,4.504361429,서울특별시
1135056000,20916,4.207305412,서울특별시
1135057000,25925,3.895853423,서울특별시
1135058000,29205,5.58123609,서울특별시
1135059500,36462,3.565355713,서울특별시
1135060000,41828,6.311561633,서울특별시
1135061100,26441,2.798683862,서울특별시
1135061200,21593,3.612281758,서울특별시
1135061900,23423,1.707723178,서울특별시
1135062100,26480,1.850453172,서울특별시
1135062400,19497,2.76965687,서울특별시
1135062500,33366,4.495594318,서울특별시
1135063000,37707,3.925000663,서울특별시
1135064000,19466,2.311723004,서울특별시
1135066500,25211,2.855896236,서울특별시
1135067000,23605,2.668926075,서울특별시
1135069500,31914,6.893526352,서울특별시
1135070000,22292,13.72689754,서울특별시
1135071000,19979,5.305570849,서울특별시
1135072000,18424,6.404689535,서울특별시
1138000000,466746,4.599932297,서울특별시
1138051000,36515,6.38093934,서울특별시
1138052000,38002,5.236566497,서울특별시
1138053000,27036,2.663115846,서울특별시
1138055100,16988,2.707793737,서울특별시
1138055200,27907,3.475830437,서울특별시
1138056000,31815,3.55178375,서울특별시
1138057000,26542,4.031346545,서울특별시
1138058000,32957,7.251873654,서울특별시
1138059000,27828,9.091562455,서울특별시
1138060000,23960,4.006677796,서울특별시
1138062500,44589,3.274350176,서울특별시
1138063100,26779,3.92098286,서울특별시
1138063200,19370,3.871966959,서울특별시
1138064000,18500,4.432432432,서울특별시
1138065000,13137,8.677780315,서울특별시
1138069000,54821,3.101001441,서울특별시
1141000000,306337,4.544015251,서울특별시
1141052000,16813,5.88830072,서울특별시
1141055500,15571,8.284631687,서울특별시
1141056500,19863,4.682072195,서울특별시
1141058500,20297,3.645858994,서울특별시
1141061500,34413,2.760584663,서울특별시
1141062000,24428,4.748649091,서울특별시
1141064000,17719,4.627800666,서울특별시
1141065500,13326,5.55305418,서울특별시
1141066000,22584,5.003542331,서울특별시
1141068500,26733,3.59106722,서울특별시
1141069000,16655,5.043530471,서울특별시
1141070000,29301,5.835978294,서울특별시
1141071000,17703,3.897644467,서울특별시
1141072000,30931,3.136012415,서울특별시
1144000000,364638,4.930917787,서울특별시
1144055500,25694,8.79582782,서울특별시
1144056500,36835,4.886656712,서울특별시
1144058500,20871,6.468305304,서울특별시
1144059000,21340,6.326148079,서울특별시
1144060000,14495,3.794411866,서울특별시
1144061000,16758,5.66893424,서울특별시
1144063000,22286,6.551198062,서울특별시
1144065500,24749,5.495171522,서울특별시
1144066000,24528,2.731572081,서울특별시
1144068000,16702,4.071368698,서울특별시
1144069000,19452,3.804236068,서울특별시
1144070000,18250,3.506849315,서울특별시
1144071000,14614,3.216094156,서울특별시
1144072000,18726,3.364306312,서울특별시
1144073000,39192,5.536844254,서울특별시
1144074000,30146,2.985470709,서울특별시
1147000000,440881,4.016956957,서울특별시
1147051000,30407,2.696747459,서울특별시
1147052000,29428,5.436998777,서울특별시
1147053000,21587,5.558901191,서울특별시
1147054000,24849,2.454827156,서울특별시
1147055000,40637,2.140906071,서울특별시
1147056000,20078,3.137762725,서울특별시
1147057000,20413,4.408955078,서울특별시
1147058000,14748,5.288852726,서울특별시
1147059000,17604,4.82844808,서울특별시
1147060000,14334,4.534672806,서울특별시
1147061000,13759,10.17515808,서울특별시
1147061100,19068,5.50660793,서울특별시
1147062000,19856,2.719580983,서울특별시
1147063000,18906,1.957050672,서울특별시
1147064000,50235,5.21548721,서울특별시
1147065000,32416,3.794422507,서울특별시
1147067000,24131,2.776511541,서울특별시
1147068000,28425,3.236587511,서울특별시
1150000000,569166,5.091660429,서울특별시
1150051000,41506,6.69782682,서울특별시
1150052000,24762,8.440352152,서울특별시
1150053000,19738,4.965042051,서울특별시
1150053500,29854,5.593890266,서울특별시
1150054000,51705,5.454017987,서울특별시
1150055000,17514,3.882608199,서울특별시
1150056000,21459,3.16883359,서울특별시
1150057000,20237,5.089687207,서울특별시
1150059000,33732,4.357879758,서울특별시
1150059100,25027,3.955727814,서울특별시
1150059300,24010,3.998334027,서울특별시
1150060300,34085,4.635470148,서울특별시
1150060400,13812,3.402838112,서울특별시
1150060500,14579,10.42595514,서울특별시
1150061100,35944,4.479189851,서울특별시
1150061500,42679,3.772347056,서울특별시
1150062000,30372,5.66311076,서울특별시
1150063000,42616,4.669607659,서울특별시
1150064000,23123,4.281451369,서울특별시
1150064100,22412,5.978939854,서울특별시
1153000000,395315,5.345104537,서울특별시
1153051000,35821,7.704977527,서울특별시
1153052000,20633,9.30548151,서울특별시
1153053000,23131,3.37209805,서울특별시
1153054000,23419,4.227336778,서울특별시
1153055000,19192,3.855773239,서울특별시
1153056000,29271,6.354412217,서울특별시
1153059500,8936,2.57385855,서울특별시
1153072000,25318,3.554783158,서울특별시
1153073000,26129,3.827165219,서울특별시
1153074000,33360,6.864508393,서울특별시
1153075000,30273,4.657615697,서울특별시
1153076000,19887,2.916478101,서울특별시
1153077000,22541,6.210904574,서울특별시
1153078000,37958,4.346909742,서울특별시
1153079000,23039,4.687703459,서울특별시
1153080000,16407,9.386237582,서울특별시
1154500000,229642,4.459114622,서울특별시
1154551000,24211,3.345586717,서울특별시
1154561000,45881,7.323292866,서울특별시
1154562000,18223,3.073039565,서울특별시
1154563000,24034,3.703087293,서울특별시
1154564000,14885,3.627813235,서울특별시
1154567000,32460,4.682686383,서울특별시
1154568000,20717,3.282328522,서울특별시
1154569000,10545,3.888098625,서울특별시
1154570000,19977,3.654202333,서울특별시
1154571000,18709,3.955315623,서울특별시
1156000000,375675,6.210155054,서울특별시
1156051500,21008,5.093297791,서울특별시
1156053500,29728,5.819429494,서울특별시
1156054000,32555,5.406235601,서울특별시
1156055000,20373,6.626417317,서울특별시
1156056000,36716,6.999673167,서울특별시
1156058500,17671,6.055118556,서울특별시
1156060500,32331,8.165537719,서울특별시
