loc,총인구수,조출생률,지역
1130500000,299182,3.385898884,서울특별시
1130553400,23629,4.147445935,서울특별시
1130553500,21504,2.046130952,서울특별시
1130554500,29478,4.511839338,서울특별시
1130555500,26380,2.918877938,서울특별시
1130557500,31361,4.432256624,서울특별시
1130559500,18353,2.288454204,서울특별시
1130560300,15847,2.145516502,서울특별시
1130560800,16846,3.73976018,서울특별시
1130561500,20639,3.149377392,서울특별시
1130562500,21278,3.524767365,서울특별시
1130563500,22983,2.610625245,서울특별시
1130564500,20542,4.381267647,서울특별시
1130566000,30342,3.065058335,서울특별시
1132000000,317366,3.595218139,서울특별시
1132051100,24706,4.573787744,서울특별시
1132051200,29099,4.261314822,서울특별시
1132051300,13836,2.963284186,서울특별시
1132051400,26496,4.679951691,서울특별시
1132051500,24607,4.510911529,서울특별시
1132052100,21072,2.182991648,서울특별시
1132052200,26837,3.987032828,서울특별시
1132066000,21380,3.367633302,서울특별시
1132067000,18728,4.378470739,서울특별시
1132068000,16614,3.250270856,서울특별시
1132068100,18606,2.956035687,서울특별시
1132069000,28673,3.138841419,서울특별시
1132070000,19669,2.54207128,서울특별시
1132071000,27043,2.662426506,서울특별시
1135000000,510956,4.366325085,서울특별시
1135056000,21602,3.93482085,서울특별시
1135057000,26568,4.554351099,서울특별시
1135058000,29885,7.02693659,서울특별시
1135059500,36610,3.250478011,서울특별시
1135060000,40374,4.904146233,서울특별시
1135061100,26562,3.049469166,서울특별시
1135061200,21977,4.140692542,서울특별시
1135061900,23955,1.294093091,서울특별시
1135062100,26778,1.493763537,서울특별시
1135062400,19928,2.458851867,서울특별시
1135062500,34196,4.532693882,서울특별시
1135063000,38126,3.46220427,서울특별시
1135064000,19980,3.053053053,서울특별시
1135066500,26166,3.783535886,서울특별시
1135067000,23940,2.798663325,서울특별시
1135069500,32641,5.483900616,서울특별시
1135070000,22547,12.90637335,서울특별시
1135071000,20444,5.08706711,서울특별시
1135072000,18677,6.317931145,서울특별시
1138000000,473307,4.386159512,서울특별시
1138051000,36807,6.411823838,서울특별시
1138052000,38518,4.17986396,서울특별시
1138053000,27545,3.26738065,서울특별시
1138055100,21876,3.931248857,서울특별시
1138055200,28240,3.576487252,서울특별시
1138056000,32207,3.508554041,서울특별시
1138057000,26881,3.571295711,서울특별시
1138058000,32960,5.855582524,서울특별시
1138059000,27912,8.168529665,서울특별시
1138060000,24336,3.533859303,서울특별시
1138062500,45384,3.635642517,서울특별시
1138063100,27031,3.884428989,서울특별시
1138063200,20211,3.562416506,서울특별시
1138064000,14909,3.957341203,서울특별시
1138065000,12692,5.909234163,서울특별시
1138069000,55798,3.763575755,서울특별시
1141000000,304819,4.763482591,서울특별시
1141052000,17121,5.023071082,서울특별시
1141055500,15930,7.846829881,서울특별시
1141056500,20355,4.519774011,서울특별시
1141058500,19752,3.088294856,서울특별시
1141061500,34976,3.802607502,서울특별시
1141062000,23676,5.490792364,서울특별시
1141064000,15336,3.651538863,서울특별시
1141065500,13703,4.378603226,서울특별시
1141066000,22697,5.331101027,서울특별시
1141068500,26496,3.434480676,서울특별시
1141069000,15409,6.359919528,서울특별시
1141070000,29780,6.917394224,서울특별시
1141071000,18009,5.164084624,서울특별시
1141072000,31579,3.166661389,서울특별시
1144000000,368905,5.364524742,서울특별시
1144055500,25233,9.788768676,서울특별시
1144056500,37164,6.081153805,서울특별시
1144058500,21151,6.902746915,서울특별시
1144059000,21619,5.689439845,서울특별시
1144060000,14517,4.133085348,서울특별시
1144061000,16817,5.767972885,서울특별시
1144063000,22489,7.114589355,서울특별시
1144065500,24938,5.333226401,서울특별시
1144066000,24826,3.182147748,서울특별시
1144068000,17311,4.101438392,서울특별시
1144069000,20041,4.790180131,서울특별시
1144070000,18567,4.578014757,서울특별시
1144071000,14914,3.821912297,서울특별시
1144072000,18930,4.331748547,서울특별시
1144073000,39608,5.125227227,서울특별시
1144074000,30780,3.703703704,서울특별시
