loc,총인구수,조출생률
1135062100.0,27979.0,1.39390257
1135062400.0,21259.0,2.587139564
1135062500.0,36609.0,4.507088421
1135063000.0,39955.0,5.506194469
1135064000.0,21044.0,2.898688462
1135066500.0,25697.0,3.074288827
1135067000.0,25335.0,3.512926781
1135069500.0,34492.0,5.856430477
1135070000.0,23904.0,14.47456493
1135071000.0,21825.0,6.002290951
1135072000.0,16555.0,7.067351253
1138000000.0,480032.0,5.114242384
1138051000.0,37959.0,6.902183935
1138052000.0,40610.0,5.688254125
1138053000.0,29249.0,4.171082772
1138055100.0,24288.0,3.705533597
1138055200.0,29771.0,5.239998656
1138056000.0,33570.0,4.438486744
1138057000.0,27522.0,5.849865562
1138058000.0,25338.0,4.696503276
1138059000.0,25241.0,7.48781744
1138060000.0,25700.0,3.774319066
1138062500.0,48071.0,5.221443282
1138063100.0,28320.0,5.225988701
1138063200.0,21727.0,5.292953468
1138064000.0,16027.0,4.430024334
1138065000.0,8878.0,5.406623113
1138069000.0,57761.0,4.258929035
1141000000.0,309397.0,5.090547096
1141052000.0,18393.0,6.306747132
1141055500.0,17094.0,7.371007371
1141056500.0,17649.0,3.852909513
1141058500.0,18703.0,3.582312998
1141061500.0,38054.0,3.705260945
1141062000.0,24701.0,6.15359702
1141064000.0,16245.0,5.047706987
1141065500.0,14444.0,5.054001662
1141066000.0,22556.0,4.788082993
1141068500.0,27571.0,4.279859272
1141069000.0,16602.0,7.047343694
1141070000.0,24939.0,6.255262841
1141071000.0,19010.0,5.628616518
1141072000.0,33436.0,4.306735255
1144000000.0,374035.0,6.368387985
1144055500.0,24856.0,12.10975217
1144056500.0,39776.0,6.486323411
1144058500.0,22311.0,7.933306441
1144059000.0,21920.0,7.071167883
1144060000.0,11548.0,3.290613093
1144061000.0,12495.0,6.56262505
1144063000.0,23353.0,6.680083929
1144065500.0,25165.0,5.523544606
1144066000.0,24152.0,5.051341504
1144068000.0,18721.0,6.57016185
1144069000.0,21477.0,5.866741165
1144070000.0,19182.0,5.213220728
1144071000.0,15849.0,5.8678781
1144072000.0,19769.0,5.311346047
