loc,총인구수,조출생률
1100000000.0,9509458.0,4.837184201
1111000000.0,144683.0,3.718474181
1111051500.0,11978.0,4.090833194
1111053000.0,9372.0,4.054630815
1111054000.0,2456.0,3.664495114
1111055000.0,9579.0,3.340640985
1111056000.0,18152.0,3.856324372
1111057000.0,8259.0,6.296161763
1111058000.0,10046.0,7.863826399
1111060000.0,4088.0,4.403131115
1111061500.0,7197.0,2.084201751
1111063000.0,5089.0,1.965022598
1111064000.0,7231.0,2.489282257
1111065000.0,16383.0,2.441555271
1111067000.0,4891.0,3.475771826
1111068000.0,7911.0,1.769687777
1111069000.0,6575.0,4.410646388
1111070000.0,5837.0,3.255096796
1111071000.0,9639.0,3.008610852
1114000000.0,122499.0,5.093919134
1114052000.0,2250.0,6.222222222
1114054000.0,4784.0,3.135451505
1114055000.0,2884.0,3.46740638
1114057000.0,4023.0,4.722843649
1114058000.0,4590.0,3.267973856
1114059000.0,5255.0,3.044719315
1114060500.0,1738.0,3.452243959
1114061500.0,7673.0,2.606542421
1114062500.0,13798.0,3.768662125
1114063500.0,16676.0,4.49748141
1114064500.0,13588.0,6.47630262
1114065000.0,10363.0,5.017851973
1114066500.0,10266.0,4.188583674
1114067000.0,12576.0,7.554071247
1114068000.0,12035.0,8.641462401
1117000000.0,222953.0,5.597592318
1117051000.0,16833.0,4.574348007
1117052000.0,9456.0,3.066835871
1117053000.0,7351.0,1.632430962
1117055500.0,19471.0,3.749165426
1117056000.0,15950.0,8.902821317
1117057000.0,13751.0,6.326812595
1117058000.0,10037.0,9.166085484
1117059000.0,11863.0,7.249431004
1117062500.0,21763.0,7.076230299
1117063000.0,25893.0,6.488240065
1117064000.0,8303.0,7.708057329
1117065000.0,6392.0,4.380475594
1117066000.0,8997.0,3.445592975
1117068500.0,20389.0,5.934572564
1117069000.0,13051.0,4.060991495
1117070000.0,13453.0,2.304318739
1120000000.0,285990.0,6.356865625
1120052000.0,16475.0,7.46585736
1120053500.0,26430.0,6.432084752
1120054000.0,22362.0,5.545121188
1120055000.0,11915.0,3.021401595
1120056000.0,13904.0,5.969505178
1120057000.0,23280.0,6.872852234
1120058000.0,15408.0,6.295430945
1120059000.0,15240.0,7.611548556
1120061500.0,22735.0,8.840994062
1120062000.0,14325.0,8.865619546
1120064500.0,26033.0,8.028271809
1120065000.0,16514.0,7.448225748
1120066000.0,12643.0,5.93213636
1120067000.0,15806.0,4.618499304
1120069000.0,10757.0,4.27628521
1120072000.0,10516.0,3.708634462
1120079000.0,11647.0,1.373744312
1121500000.0,339996.0,4.44122872
1121571000.0,23138.0,2.333823148
1121573000.0,19591.0,4.236639273
1121574000.0,15496.0,4.904491482
1121575000.0,21428.0,4.246779914
1121576000.0,16135.0,5.206073753
