loc,총인구수,조출생률,지역
1100000000,9765623,6.098228449,서울특별시
1111000000,153065,4.488289289,서울특별시
1111051500,13045,5.825986968,서울특별시
1111053000,9546,4.504504505,서울특별시
1111054000,2836,3.878702398,서울특별시
1111055000,10149,3.744211252,서울특별시
1111056000,18951,4.854625086,서울특별시
1111057000,8215,1.947656726,서울특별시
1111058000,10701,9.344921035,서울특별시
1111060000,4429,4.741476631,서울특별시
1111061500,7420,2.69541779,서울특별시
1111063000,5225,2.296650718,서울특별시
1111064000,8083,3.958926141,서울특별시
1111065000,17083,2.517122285,서울특별시
1111067000,5364,3.728560776,서울특별시
1111068000,8780,4.783599089,서울특별시
1111069000,7254,8.547008547,서울특별시
1111070000,6376,4.548306148,서울특별시
1111071000,9608,3.122398002,서울특별시
1114000000,125725,5.941539073,서울특별시
1114052000,2033,8.362026562,서울특별시
1114054000,5337,2.997938917,서울특별시
1114055000,2839,4.931313843,서울특별시
1114057000,4003,4.99625281,서울특별시
1114058000,4722,5.294366794,서울특별시
1114059000,4929,1.420166362,서울특별시
1114060500,1716,2.913752914,서울특별시
1114061500,7716,4.536029031,서울특별시
1114062500,14600,3.630136986,서울특별시
1114063500,17756,6.589321919,서울특별시
1114064500,14652,6.825006825,서울특별시
1114065000,9358,5.449882454,서울특별시
1114066500,11043,5.52386127,서울특별시
1114067000,12373,7.516366281,서울특별시
1114068000,12648,10.51549652,서울특별시
1117000000,228999,6.052428177,서울특별시
1117051000,18144,4.574514991,서울특별시
1117052000,10689,5.519693142,서울특별시
1117053000,7821,4.34727017,서울특별시
1117055500,20105,4.476498383,서울특별시
1117056000,15421,9.726995655,서울특별시
1117057000,14912,6.571888412,서울특별시
1117058000,8944,7.379248658,서울특별시
1117059000,12625,6.811881188,서울특별시
1117062500,17667,5.886681383,서울특별시
1117063000,28302,6.783972864,서울특별시
1117064000,8990,10.567297,서울특별시
1117065000,7042,5.538199375,서울특별시
1117066000,9463,5.072387192,서울특별시
1117068500,20514,5.898410841,서울특별시
1117069000,13502,4.740038513,서울특별시
1117070000,14858,3.836317136,서울특별시
1120000000,308221,7.702265582,서울특별시
1120052000,17748,9.015100293,서울특별시
1120053500,27345,9.252148473,서울특별시
1120054000,23446,6.184423782,서울특별시
1120055000,11624,3.699242946,서울특별시
1120056000,16238,5.111466929,서울특별시
1120057000,24986,8.324661811,서울특별시
1120058000,16340,6.364749082,서울특별시
