loc,총인구수,조출생률,구간별_데이터_개수
1132051300.0,14310.0,2.935010482,176
1132051400.0,27195.0,4.853833425,167
1132051500.0,25198.0,5.198825304,156
1132052100.0,21660.0,2.816251154,170
1132052200.0,27785.0,4.822746086,167
1132066000.0,21790.0,3.763194126,215
1132067000.0,19246.0,3.948872493,215
1132068000.0,16769.0,3.279861649,196
1132068100.0,19262.0,2.491953068,160
1132069000.0,28975.0,2.830025884,170
1132070000.0,20282.0,2.711764126,170
1132071000.0,27901.0,3.584100928,194
1135000000.0,523037.0,4.353420504,213
1135056000.0,22446.0,3.697763521,194
1135057000.0,27472.0,4.695690157,167
1135058000.0,30605.0,6.371507924,65
1135059500.0,37680.0,4.458598726,213
1135060000.0,39760.0,5.105633803,190
1135061100.0,27471.0,2.875759892,170
1135061200.0,22665.0,2.691374366,170
1135061900.0,24880.0,1.72829582,159
1135062100.0,27465.0,1.201529219,100
1135062400.0,20695.0,2.705967625,170
1135062500.0,35446.0,4.2317892,199
1135063000.0,39044.0,3.457637537,194
1135064000.0,20535.0,3.067932798,176
1135066500.0,27076.0,3.323976954,196
1135067000.0,24667.0,2.918879475,176
1135069500.0,33509.0,5.371691187,156
1135070000.0,22914.0,13.92161997,2
1135071000.0,21136.0,5.677517033,158
1135072000.0,17571.0,5.577371806,158
1138000000.0,479835.0,4.486959059,213
1138051000.0,37396.0,6.658466146,78
1138052000.0,39733.0,4.681247326,167
1138053000.0,28441.0,3.375408741,196
1138055100.0,23167.0,3.237363491,196
1138055200.0,28885.0,3.912065086,215
1138056000.0,32749.0,3.328345904,196
1138057000.0,27240.0,3.450807636,196
1138058000.0,30963.0,4.456932468,213
1138059000.0,27569.0,9.467155138,16
1138060000.0,25218.0,3.648187802,194
1138062500.0,46556.0,3.99518859,215
1138063100.0,27547.0,4.973318329,190
1138063200.0,20805.0,3.749098774,215
1138064000.0,15355.0,4.754151742,167
1138065000.0,11189.0,3.396192689,196
1138069000.0,57022.0,3.998456736,215
1141000000.0,312173.0,5.000432453,190
1141052000.0,17784.0,5.847953216,118
1141055500.0,16637.0,9.196369538,22
1141056500.0,20807.0,4.421588888,213
1141058500.0,19264.0,3.218438538,196
1141061500.0,36311.0,3.828041089,215
1141062000.0,24340.0,4.971240756,190
1141064000.0,15819.0,4.235413111,199
1141065500.0,14228.0,5.060444195,190
1141066000.0,23013.0,4.432277408,213
1141068500.0,26992.0,4.075281565,199
1141069000.0,15894.0,7.801686171,41
1141070000.0,30054.0,5.090836494,190
1141071000.0,18440.0,6.344902386,65
1141072000.0,32590.0,4.449217551,213
1144000000.0,371890.0,5.52582753,158
1144055500.0,25749.0,10.87420871,11
1144056500.0,38101.0,5.747880633,158
1144058500.0,21753.0,7.12545396,55
1144059000.0,21832.0,7.557713448,35
1144060000.0,14410.0,4.163775156,199
1144061000.0,12104.0,5.452742895,156
1144063000.0,23199.0,6.595111858,65
1144065500.0,24674.0,5.187646916,156
1144066000.0,25327.0,3.514036404,194
1144068000.0,18229.0,5.046903286,190
1144069000.0,20802.0,4.374579367,213
1144070000.0,19014.0,4.31261176,199
1144071000.0,15605.0,3.8449215,215
1144072000.0,19342.0,3.929273084,215
1144073000.0,40355.0,5.4516169,156
1144074000.0,31394.0,3.790533223,215
1147000000.0,454251.0,4.198119542,199
1147051000.0,31581.0,3.324783889,196
1147052000.0,30460.0,5.745239659,158
1147053000.0,22469.0,7.610485558,35
1147054000.0,25974.0,2.502502503,160
1147055000.0,42215.0,2.321449722,160
1147056000.0,20929.0,3.822447322,215
1147057000.0,21343.0,4.638523169,167
1147058000.0,15751.0,4.31718621,213
1147059000.0,18403.0,4.564473184,213
1147060000.0,15044.0,5.716564743,158
1147061000.0,13748.0,5.819028222,118
1147061100.0,20519.0,3.703884205,194
1147062000.0,20949.0,3.007303451,176
1147063000.0,20047.0,1.795779917,159
1147064000.0,46393.0,5.582738775,158
1147065000.0,33521.0,4.415142746,213
1147067000.0,25014.0,3.558007516,194
1147068000.0,29891.0,4.181860761,199
1150000000.0,580185.0,5.899842292,118
1150051000.0,41894.0,8.091850862,45
1150052000.0,24145.0,7.496376061,35
1150053000.0,21099.0,5.829660173,118
1150053500.0,31478.0,6.1630345,82
1150054000.0,52358.0,6.933037931,55
1150055000.0,18442.0,5.693525648,158
1150056000.0,21785.0,4.360798715,213
1150057000.0,21108.0,5.211294296,156
1150059000.0,34581.0,5.667852289,158
1150059100.0,24934.0,4.491858506,213
1150059300.0,25223.0,5.391904214,156
1150060300.0,34184.0,5.324128247,156
1150060400.0,14500.0,4.896551724,190
1150060500.0,15477.0,10.66098081,11
1150061100.0,37390.0,4.653650709,167
1150061500.0,43778.0,4.157339303,199
1150062000.0,26939.0,7.461301459,51
1150063000.0,44305.0,5.462137456,156
1150064000.0,23122.0,4.973618199,190
1150064100.0,23443.0,5.84396195,118
1153000000.0,404408.0,5.670016419,158
1153051000.0,36188.0,7.875538853,41
1153052000.0,21232.0,7.159005275,55
1153053000.0,24601.0,3.373846592,196
1153054000.0,23883.0,4.940752837,190
1153055000.0,20378.0,4.465600157,213
1153056000.0,29358.0,6.608079569,65
1153059500.0,9280.0,2.693965517,170
1153072000.0,23151.0,3.369184916,196
1153073000.0,27336.0,4.645888206,167
1153074000.0,34337.0,5.329527914,156
1153075000.0,31763.0,5.19472342,156
1153076000.0,20848.0,4.508825787,213
1153077000.0,22687.0,7.096575131,55
1153078000.0,39112.0,4.832276539,167
1153079000.0,23970.0,5.924071756,118
1153080000.0,16284.0,12.65045443,5
1154500000.0,231733.0,4.712319782,167
1154551000.0,23076.0,3.510140406,194
1154561000.0,42122.0,8.0480509,41
1154562000.0,19047.0,3.780122854,215
1154563000.0,24571.0,3.093077205,176
1154564000.0,15562.0,3.984063745,215
1154567000.0,33770.0,5.152502221,190
1154568000.0,21967.0,3.687349206,194
1154569000.0,11126.0,3.325543771,196
1154570000.0,20797.0,4.519882675,213
1154571000.0,19695.0,3.858847423,215
1156000000.0,379480.0,6.113629177,82
1156051500.0,21479.0,4.981609945,190
1156053500.0,28118.0,5.761433957,118
1156054000.0,34135.0,5.6540208,158
1156055000.0,20750.0,6.698795181,78
1156056000.0,37560.0,6.815761448,78
1156058500.0,18249.0,6.08252507,82
1156060500.0,33190.0,8.285628201,45
1156061000.0,17393.0,10.061519,19
1156062000.0,22380.0,9.115281501,22
1156063000.0,17469.0,3.491899937,194
1156065000.0,16896.0,4.971590909,190
1156066000.0,12122.0,2.474839135,160
1156067000.0,11186.0,5.006257822,190
1156068000.0,18071.0,5.201704388,156
1156069000.0,20289.0,7.886046626,41
1156070000.0,14870.0,2.824478816,170
1156071000.0,12409.0,3.706986864,194
1156072000.0,22914.0,5.455180239,156
1159000000.0,391220.0,5.278360002,156
1159051000.0,32052.0,5.023087483,190
1159052000.0,12669.0,2.683716158,170
1159053000.0,45139.0,4.031990075,199
1159054000.0,27856.0,6.641298105,78
1159055000.0,25069.0,5.385137022,156
1159056000.0,28943.0,5.804512317,118
1159060500.0,32391.0,5.433608101,156
1159062000.0,23071.0,4.551168133,213
1159063000.0,27238.0,7.269256186,51
1159064000.0,25012.0,6.516871901,65
1159065000.0,14421.0,6.171555371,82
1159065100.0,14702.0,7.277921371,51
1159066000.0,38795.0,3.814924604,215
1159067000.0,23660.0,4.311073542,199
1159068000.0,20202.0,5.544005544,158
1162000000.0,495060.0,3.868217994,215
1162052500.0,24563.0,3.74547083,215
1162054500.0,15591.0,6.927073312,55
1162056500.0,30296.0,4.984156324,190
1162057500.0,29302.0,4.368302505,213
1162058500.0,17013.0,3.761829189,215
1162059500.0,35128.0,3.074470508,176
1162060500.0,34023.0,4.585133586,213
1162061500.0,15372.0,2.60213375,170
1162062500.0,26154.0,4.549973235,213
1162063000.0,18395.0,6.142973634,82
1162064500.0,22848.0,4.070378151,199
1162065500.0,18313.0,3.057936985,176
1162066500.0,23839.0,2.810520576,170
1162068500.0,22797.0,3.289906567,196
1162069500.0,21849.0,2.883427159,176
1162071500.0,15799.0,4.557250459,213
1162072500.0,17558.0,3.815924365,215
1162073500.0,23669.0,2.408213275,160
1162074500.0,23785.0,2.690771495,170
1162076500.0,31206.0,3.42882779,196
1162077500.0,27560.0,4.172714078,199
1165000000.0,425126.0,5.337241194,156
1165051000.0,20990.0,6.145783707,82
1165052000.0,21503.0,5.627121797,158
1165053000.0,31979.0,4.940742362,190
1165053100.0,31470.0,5.020654592,190
1165054000.0,28346.0,5.67981373,158
1165055000.0,11940.0,2.763819095,170
1165056000.0,32317.0,5.353219668,156
1165057000.0,16076.0,4.727544165,167
1165058000.0,22352.0,6.084466714,82
1165058100.0,19390.0,5.312016503,156
1165059000.0,21102.0,4.075443086,199
1165060000.0,17264.0,5.908248378,118
1165061000.0,20258.0,5.578043242,158
1165062000.0,21311.0,4.83318474,167
1165062100.0,23760.0,5.387205387,156
1165065100.0,44522.0,5.41305422,156
1165065200.0,22464.0,5.653490028,158
1165066000.0,18082.0,6.69173764,78
1168000000.0,539231.0,4.469327617,213
1168051000.0,16663.0,3.540778971,194
1168052100.0,23012.0,3.954458543,215
1168053100.0,21739.0,5.014030084,190
1168054500.0,27270.0,5.610561056,158
1168056500.0,27029.0,5.623589478,158
1168058000.0,13391.0,5.97416175,118
1168059000.0,30126.0,5.642966209,158
1168060000.0,24889.0,1.325886938,100
1168061000.0,37600.0,2.154255319,145
1168063000.0,20461.0,3.030154929,176
1168064000.0,35824.0,3.489280929,194
1168065000.0,36967.0,3.949468445,215
1168065500.0,22085.0,5.161874576,190
1168065600.0,33939.0,4.684875807,167
1168066000.0,6646.0,1.956063798,159
1168067000.0,22235.0,6.8810434,78
1168069000.0,22601.0,4.026370515,215
1168070000.0,44292.0,5.486318071,158
1168072000.0,23916.0,4.473992306,213
1168073000.0,15672.0,3.70086779,194
1168074000.0,17643.0,6.461486142,65
1168075000.0,15231.0,6.368590375,65
1171000000.0,667960.0,5.724893706,158
1171051000.0,13901.0,5.539169844,158
1171052000.0,25518.0,5.721451524,158
1171053100.0,12980.0,3.466872111,194
1171053200.0,19243.0,4.936860157,190
1171054000.0,19731.0,2.28067508,145
1171055000.0,19561.0,3.169572108,196
1171056100.0,16188.0,3.891771683,215
1171056200.0,26169.0,5.655546639,158
1171056600.0,18484.0,2.542739667,160
1171057000.0,39504.0,5.467800729,158
1171058000.0,24813.0,7.173658969,55
1171059000.0,20646.0,4.649811101,167
1171060000.0,32527.0,5.933532143,118
1171061000.0,31455.0,5.372754729,156
1171062000.0,27057.0,7.059171379,55
1171063100.0,27792.0,11.62204951,7
1171063200.0,33015.0,5.452067242,156
1171064100.0,20689.0,6.041857992,118
1171064200.0,29378.0,6.195111989,82
1171064600.0,30199.0,6.688963211,78
1171064700.0,30305.0,10.03134796,19
1171065000.0,28572.0,5.144897102,190
1171067000.0,36110.0,4.901689283,190
1171068000.0,35316.0,4.530524408,213
1171069000.0,21721.0,5.340453939,156
1171071000.0,17198.0,5.814629608,118
1171072000.0,9888.0,3.741909385,215
1174000000.0,459970.0,5.596017132,158
1174051500.0,35609.0,3.145272263,176
1174052000.0,33222.0,6.893022696,78
1174053000.0,26288.0,7.798234936,41
1174054000.0,17513.0,2.284017587,145
1174055000.0,25961.0,5.739378298,158
1174056000.0,22457.0,7.703611346,35
1174057000.0,35432.0,5.221268909,156
1174058000.0,15443.0,10.2311727,8
1174059000.0,18371.0,5.552229057,158
1174060000.0,27488.0,4.692956927,167
1174061000.0,34550.0,5.18089725,156
1174062000.0,26585.0,5.98081625,118
1174064000.0,20228.0,6.228989519,82
1174065000.0,24305.0,5.554412672,158
1174066000.0,23429.0,5.505996842,158
1174068500.0,46556.0,4.596614829,213
1174069000.0,249.0,0.0,88
1174070000.0,26284.0,5.706893928,158
2600000000.0,3391946.0,4.508916121,213
2611000000.0,41523.0,2.336054717,160
2611051000.0,2482.0,2.014504432,145
2611052000.0,2893.0,2.419633598,160
2611053000.0,6520.0,1.226993865,100
2611054500.0,10707.0,2.33492108,160
2611056000.0,4672.0,2.782534247,170
2611057000.0,1060.0,0.943396226,107
2611058000.0,1028.0,0.0,88
2611059000.0,4792.0,3.338898164,196
2611060000.0,7369.0,2.985479712,176
2614000000.0,108135.0,3.366162667,196
2614051000.0,4563.0,2.849002849,170
2614052000.0,7635.0,2.357563851,160
2614053000.0,7775.0,2.31511254,160
2614054000.0,13689.0,4.675286727,167
2614056000.0,8639.0,4.745919667,167
2614057000.0,7908.0,4.931714719,190
2614059000.0,7829.0,4.215097714,199
2614061500.0,7080.0,1.412429379,100
2614063000.0,4657.0,1.717844106,140
2614064000.0,10088.0,4.956383822,190
2614065000.0,5081.0,3.542609722,194
2614066000.0,9587.0,1.773234589,159
2614068000.0,13604.0,2.572772714,160
2617000000.0,88901.0,3.981957458,215
2617051000.0,4837.0,0.413479429,45
2617052000.0,5812.0,1.032346869,107
2617053000.0,11477.0,10.02004008,19
2617055000.0,6370.0,1.25588697,100
2617056000.0,4247.0,2.590063574,170
2617057000.0,10075.0,4.466501241,213
2617059000.0,4128.0,1.937984496,159
2617060000.0,5562.0,1.438331535,100
2617064500.0,11087.0,3.517633264,194
2617065000.0,12009.0,1.748688484,159
2617066000.0,8723.0,5.388054568,156
2617068000.0,4574.0,9.619588981,17
2620000000.0,113342.0,2.699793545,170
2620053000.0,10996.0,2.910149145,176
2620054000.0,4167.0,1.919846412,159
2620055000.0,8791.0,1.933795928,159
2620058500.0,9072.0,1.543209877,140
2620059000.0,7280.0,3.021978022,176
2620060500.0,5234.0,2.483760031,160
2620063000.0,6705.0,2.684563758,170
2620064000.0,18411.0,2.607137038,170
2620065000.0,28740.0,3.47947112,194
2620066000.0,3545.0,3.385049365,196
2620067000.0,10401.0,2.115181233,145
2623000000.0,359886.0,4.137421295,199
2623051000.0,15533.0,4.957187922,190
2623052000.0,9915.0,5.143721634,190
2623054000.0,20941.0,3.676997278,194
2623055000.0,22434.0,2.808237497,170
2623056000.0,20536.0,4.869497468,167
2623057000.0,12934.0,4.561620535,213
2623060000.0,21842.0,4.486768611,213
2623061000.0,21097.0,3.365407404,196
2623064000.0,23088.0,4.721067221,167
2623066000.0,17959.0,3.34094326,196
2623067000.0,23800.0,2.857142857,170
2623068000.0,10365.0,8.007718283,41
2623070000.0,11691.0,3.506971174,194
2623071000.0,19826.0,2.118430344,145
2623072000.0,17158.0,2.914092552,176
2623074000.0,17190.0,6.806282723,78
2623075000.0,11299.0,3.36312948,196
2623076000.0,29438.0,3.396969903,196
2623077000.0,12016.0,5.492676431,158
2623078000.0,20824.0,5.714560123,158
2626000000.0,270745.0,4.727695802,167
2626051000.0,33017.0,5.270012418,156
2626052000.0,10175.0,1.965601966,159
2626054500.0,24678.0,5.713591053,158
2626055000.0,19427.0,7.463838987,51
2626056000.0,15191.0,3.028108749,176
2626057000.0,39185.0,5.639913232,158
2626058000.0,10787.0,4.913321591,190
2626059000.0,28203.0,3.581179307,194
2626060000.0,17707.0,3.67086463,194
2626074000.0,14945.0,3.546336567,194
2626075000.0,27825.0,4.600179695,213
2626076100.0,14511.0,4.548273723,213
2626076200.0,15094.0,4.438849874,213
2629000000.0,267731.0,3.787383605,215
2629051000.0,15988.0,2.314235677,160
2629053000.0,33062.0,3.992498941,215
2629054000.0,12602.0,6.506903666,65
2629055000.0,16877.0,3.85139539,215
2629056000.0,15608.0,7.11173757,55
2629057000.0,45020.0,3.26521546,196
2629058000.0,17318.0,4.330754129,213
2629059000.0,12595.0,1.270345375,100
2629060000.0,8752.0,4.68464351,167
2629061000.0,8158.0,2.574160333,160
2629062000.0,13850.0,4.332129964,213
2629063000.0,7037.0,2.131590166,145
2629064500.0,13273.0,2.486250283,160
2629068000.0,14053.0,2.490571408,160
2629069000.0,8835.0,5.659309564,158
2629070000.0,15912.0,4.839115133,167
2629071000.0,8791.0,1.933795928,159
2632000000.0,283952.0,4.539499634,213
2632051000.0,14735.0,5.904309467,118
2632052000.0,26303.0,4.296087899,199
2632052100.0,20420.0,2.742409403,170
2632053000.0,38997.0,3.436161756,196
2632054100.0,42593.0,5.70516282,158
2632054200.0,15437.0,4.016324415,215
2632054300.0,30381.0,4.54231263,213
2632055000.0,12314.0,3.248335228,196
2632056000.0,12417.0,3.543529033,194
2632056100.0,11118.0,2.968159741,176
2632057100.0,12841.0,9.345066584,16
2632057200.0,27243.0,5.138934772,190
2632057300.0,19153.0,4.124680207,199
2635000000.0,402169.0,4.348917992,213
2635051000.0,23031.0,4.08145543,199
2635052000.0,31196.0,5.962302859,118
2635052500.0,28674.0,5.370719118,156
2635053000.0,26523.0,4.44896882,213
2635054000.0,15863.0,4.475824245,213
2635055100.0,18263.0,2.956797897,176
2635055200.0,32243.0,5.055360854,190
2635055300.0,16329.0,3.123277604,176
2635055400.0,23436.0,5.034988906,190
2635056000.0,9984.0,4.607371795,167
2635057000.0,35333.0,3.679279993,194
2635058000.0,13306.0,5.185630543,156
2635059000.0,9017.0,2.439835866,160
2635059500.0,16489.0,6.853053551,78
2635061000.0,14394.0,2.014728359,145
2635062000.0,24250.0,2.350515464,160
2635065000.0,38404.0,4.973440267,190
2635066000.0,25434.0,3.263348274,196
2638000000.0,311757.0,4.323880458,213
2638051000.0,20127.0,4.123813782,199
2638052000.0,14343.0,2.858537266,170
2638053000.0,12984.0,3.31176833,196
2638054000.0,11346.0,2.820377225,170
2638055000.0,27246.0,3.596858254,194
2638056100.0,21792.0,4.129955947,199
2638056200.0,25446.0,4.047787472,199
2638057100.0,17685.0,4.636697766,167
2638057200.0,16012.0,6.994753935,55
2638058000.0,11175.0,5.1901566,156
2638059000.0,28080.0,4.487179487,213
2638060100.0,39923.0,4.759161386,167
2638060200.0,28094.0,3.203531003,196
2638061000.0,11680.0,11.30136986,8
2638062000.0,19425.0,2.934362934,176
2638063000.0,6399.0,1.719018597,140
2641000000.0,232666.0,3.442703274,196
2641051000.0,5911.0,0.845880562,82
2641052000.0,9813.0,1.32477326,100
2641053000.0,11489.0,2.78527287,170
2641055500.0,8243.0,2.183670994,145
2641057000.0,8620.0,2.320185615,160
2641058000.0,16869.0,3.141857846,176
2641059000.0,16190.0,5.620753552,158
2641059100.0,13275.0,3.088512241,176
2641060000.0,17902.0,2.904703385,176
2641061000.0,27319.0,6.332589041,65
2641063500.0,2395.0,0.417536534,45
2641066500.0,10087.0,3.568950134,194
2641067000.0,29674.0,2.797061401,170
2641068000.0,19911.0,4.168550048,199
2641069000.0,33880.0,2.922077922,176
2641070000.0,1088.0,0.919117647,107
2644000000.0,137957.0,9.655182412,17
2644051000.0,6848.0,2.190420561,145
2644052000.0,7119.0,5.337828347,156
2644053000.0,4499.0,0.666814848,82
2644053500.0,50325.0,14.98261302,1
2644054500.0,30377.0,6.781446489,78
2644055000.0,2474.0,0.808407437,82
2644056000.0,32625.0,9.409961686,16
2644058000.0,3690.0,1.89701897,159
2647000000.0,209157.0,5.158804152,190
2647061000.0,29710.0,4.846852911,167
2647062000.0,12587.0,3.495670136,194
2647063000.0,10209.0,3.036536389,176
2647064000.0,10774.0,4.455169853,213
2647065000.0,16447.0,5.472122576,158
2647066000.0,20934.0,8.072991306,45
2647067000.0,7419.0,2.426202992,160
2647068000.0,16808.0,3.807710614,215
2647069000.0,16537.0,6.893632461,78
2647070000.0,17101.0,6.432372376,65
2647072000.0,14470.0,5.459571527,156
2647073000.0,36161.0,4.645889218,167
2650000000.0,176894.0,4.522482391,213
2650066000.0,14043.0,3.418073061,196
2650067000.0,12345.0,4.131227217,199
2650073000.0,14924.0,3.886357545,215
2650074000.0,27921.0,4.082948318,199
2650075000.0,11501.0,5.912529345,118
2650076000.0,26065.0,3.644734318,194
2650077000.0,18688.0,4.70890411,167
2650078000.0,9696.0,2.990924092,176
2650079000.0,13127.0,4.266016607,199
2650080000.0,28584.0,6.752029107,78
2653000000.0,212586.0,3.927822152,215
2653058000.0,6002.0,2.999000333,176
2653059100.0,28199.0,4.149083301,199
2653059300.0,11022.0,2.449646162,160
2653060000.0,8892.0,3.148897886,176
2653061000.0,13200.0,1.96969697,159
2653062000.0,22045.0,4.354728963,213
2653064500.0,13829.0,2.892472341,176
2653065000.0,15551.0,4.115490965,199
2653066000.0,23455.0,5.28671925,156
2653066100.0,13405.0,2.685565088,170
2653067000.0,28998.0,4.655493482,167
2653068000.0,27988.0,4.430470202,213
2671000000.0,174545.0,6.628663095,78
2671025000.0,53230.0,4.527522074,213
2671025300.0,8657.0,5.660159409,158
2671025600.0,82029.0,8.399468481,23
2671031000.0,22549.0,7.184354073,55
2671033000.0,8080.0,1.98019802,159
2700000000.0,2418346.0,4.693703879,167
2711000000.0,76547.0,5.512952826,158
2711051700.0,8525.0,2.697947214,170
2711054500.0,6736.0,6.977434679,55
2711056500.0,5075.0,2.75862069,170
2711057500.0,4591.0,2.831627096,170
2711058500.0,5158.0,9.887553315,19
2711059500.0,8094.0,10.74870274,11
2711064000.0,5097.0,3.727682951,194
2711065000.0,4323.0,3.238491788,196
2711066000.0,7041.0,5.965061781,118
2711067000.0,11859.0,4.469179526,213
2711068000.0,7654.0,6.271230729,82
2711069000.0,2394.0,4.594820384,213
2714000000.0,341920.0,4.884183435,167
2714051000.0,7684.0,2.86309214,170
2714052000.0,10673.0,6.933383304,55
2714053000.0,9821.0,6.211180124,82
2714054000.0,13001.0,1.769094685,159
2714054100.0,6572.0,1.369446135,100
2714055500.0,13210.0,5.22331567,156
2714057000.0,12460.0,5.056179775,190
2714058000.0,7492.0,1.201281367,100
