loc,총인구수,조출생률,지역
1100000000,9729107,5.630732605,서울특별시
1111000000,151290,4.501288915,서울특별시
1111051500,12734,5.811214073,서울특별시
1111053000,9535,5.34871526,서울특별시
1111054000,2758,2.538071066,서울특별시
1111055000,10100,4.653465347,서울특별시
1111056000,18659,4.394662093,서울특별시
1111057000,8695,5.175388154,서울특별시
1111058000,10562,10.22533611,서울특별시
1111060000,4383,2.966005019,서울특별시
1111061500,7227,2.490660025,서울특별시
1111063000,5343,1.68444694,서울특별시
1111064000,7847,3.695679878,서울특별시
1111065000,16925,3.426883309,서울특별시
1111067000,5243,2.860957467,서울특별시
1111068000,8550,2.105263158,서울특별시
1111069000,7106,8.162116521,서울특별시
1111070000,6189,2.746808854,서울특별시
1111071000,9434,3.391986432,서울특별시
1114000000,126171,6.324749744,서울특별시
1114052000,2050,8.780487805,서울특별시
1114054000,5245,5.147759771,서울특별시
1114055000,2936,3.065395095,서울특별시
1114057000,3995,3.754693367,서울특별시
1114058000,4708,2.548853016,서울특별시
1114059000,4905,3.873598369,서울특별시
1114060500,1802,4.439511654,서울특별시
1114061500,7526,4.650544778,서울특별시
1114062500,14526,5.507366102,서울특별시
1114063500,17525,6.276747504,서울특별시
1114064500,14297,6.784640134,서울특별시
1114065000,10554,7.106310404,서울특별시
1114066500,10830,5.632502308,서울특별시
1114067000,12650,8.37944664,서울특별시
1114068000,12622,9.982570116,서울특별시
1117000000,228670,5.929942712,서울특별시
1117051000,17896,5.587840858,서울특별시
1117052000,10402,5.383580081,서울특별시
1117053000,7771,2.058937074,서울특별시
1117055500,19831,3.781957541,서울특별시
1117056000,15991,10.56844475,서울특별시
1117057000,14562,6.59250103,서울특별시
1117058000,10178,8.35134604,서울특별시
1117059000,12444,6.428801029,서울특별시
1117062500,17990,7.281823235,서울특별시
1117063000,28342,7.091948345,서울특별시
1117064000,8900,7.415730337,서울특별시
1117065000,6861,4.08103775,서울특별시
1117066000,9254,5.186946185,서울특별시
1117068500,20634,5.524861878,서울특별시
1117069000,13329,3.826243529,서울특별시
1117070000,14285,2.800140007,서울특별시
1120000000,300889,7.411370971,서울특별시
1120052000,17330,7.674552799,서울특별시
1120053500,27270,8.544187752,서울특별시
1120054000,23304,4.977686234,서울특별시
1120055000,11702,4.101862929,서울특별시
1120056000,15993,6.002626149,서울특별시
1120057000,24554,7.452960821,서울특별시
1120058000,16120,5.521091811,서울특별시
1120059000,15853,9.588090582,서울특별시
1120061500,23964,9.76464697,서울특별시
1120062000,15078,12.13688818,서울특별시
1120064500,26946,10.24270764,서울특별시
1120065000,16831,7.961499614,서울특별시
1120066000,14338,6.974473427,서울특별시
1120067000,17072,5.388940956,서울특별시
1120069000,11342,6.083583142,서울특별시
1120072000,10960,4.835766423,서울특별시
1120079000,12232,3.188358404,서울특별시
1121500000,351350,5.686637256,서울특별시
1121571000,22057,2.584213628,서울특별시
1121573000,19866,4.580690627,서울특별시
1121574000,15832,6.189994947,서울특별시
1121575000,22225,6.70416198,서울특별시
