loc,총인구수,조출생률
1100000000.0,9668465.0,4.970282253
1111000000.0,149384.0,3.601456649
1111051500.0,12431.0,7.803072963
1111053000.0,9526.0,2.939323955
1111054000.0,2640.0,3.409090909
1111055000.0,10022.0,2.294951108
1111056000.0,18391.0,4.186830515
1111057000.0,8546.0,4.563538498
1111058000.0,10477.0,7.253984919
1111060000.0,4325.0,1.61849711
1111061500.0,7256.0,1.929437707
1111063000.0,5242.0,1.716901946
1111064000.0,7588.0,3.294675804
1111065000.0,16799.0,2.381094113
1111067000.0,5129.0,2.339637356
1111068000.0,8318.0,3.366193797
1111069000.0,6925.0,5.198555957
1111070000.0,6078.0,4.606778546
1111071000.0,9691.0,2.992467238
1114000000.0,125240.0,5.629191951
1114052000.0,2069.0,8.216529725
1114054000.0,5136.0,1.947040498
1114055000.0,2914.0,2.402196294
1114057000.0,4034.0,1.983143282
1114058000.0,4664.0,2.572898799
1114059000.0,5224.0,3.062787136
1114060500.0,1816.0,3.854625551
1114061500.0,7692.0,3.640145606
1114062500.0,14243.0,5.055114793
1114063500.0,17128.0,5.838393274
1114064500.0,14056.0,5.976095618
1114065000.0,10527.0,4.844685095
1114066500.0,10656.0,6.287537538
1114067000.0,12583.0,7.311451959
1114068000.0,12498.0,10.72171547
1117000000.0,230040.0,5.107807338
1117051000.0,17696.0,4.52079566
1117052000.0,9972.0,2.9081428
1117053000.0,7623.0,2.09891119
1117055500.0,19829.0,2.975440012
1117056000.0,16089.0,8.825905898
1117057000.0,14202.0,5.633009435
1117058000.0,10205.0,7.545320921
1117059000.0,12327.0,5.597468971
1117062500.0,20444.0,5.771864606
1117063000.0,28139.0,6.148050748
1117064000.0,8727.0,9.969061533
1117065000.0,6923.0,2.31113679
1117066000.0,9285.0,3.015616586
1117068500.0,21176.0,5.336229694
1117069000.0,13187.0,3.867445211
1117070000.0,14216.0,2.602701182
1120000000.0,293556.0,6.727847498
1120052000.0,17085.0,9.013754756
1120053500.0,27081.0,7.569882944
1120054000.0,22785.0,5.134957209
1120055000.0,11932.0,3.352329869
1120056000.0,14077.0,7.174824181
1120057000.0,24063.0,6.73232764
1120058000.0,15764.0,6.153260594
1120059000.0,15711.0,9.292852142
1120061500.0,23409.0,7.817506087
1120062000.0,14704.0,8.297062024
1120064500.0,26661.0,9.714564345
1120065000.0,16553.0,6.76614511
1120066000.0,13452.0,5.129348796
1120067000.0,16589.0,4.521068178
1120069000.0,11177.0,5.099758432
1120072000.0,10725.0,4.009324009
1120079000.0,11788.0,2.799457075
1121500000.0,346682.0,4.459418141
1121571000.0,22658.0,1.544708271
1121573000.0,19930.0,4.164576016
1121574000.0,15792.0,5.952380952
1121575000.0,21943.0,4.283826277
1121576000.0,16683.0,4.375711802
1121577000.0,29387.0,4.900125906
1121578000.0,11610.0,6.373815676
1121581000.0,35440.0,3.9503386
1121582000.0,22790.0,4.080737165
1121583000.0,25641.0,4.602004602
1121584000.0,28687.0,5.542580263
1121584700.0,17810.0,3.481190343
1121585000.0,22040.0,4.038112523
1121586000.0,26954.0,4.674630853
1121587000.0,29317.0,5.525804141
1123000000.0,342837.0,5.008210899
1123053600.0,31190.0,4.135941007
1123054500.0,24994.0,3.960950628
1123056000.0,30204.0,5.330419812
1123057000.0,19181.0,4.32719879
1123060000.0,29099.0,8.488264202
1123061000.0,29209.0,6.710260536
1123065000.0,38710.0,5.347455438
1123066000.0,33039.0,6.628529919
1123070500.0,19870.0,2.767991948
1123071000.0,10473.0,2.769025112
1123072000.0,13631.0,5.502164185
1123073000.0,24297.0,3.45721694
1123074000.0,18477.0,2.273096282
1123075000.0,20463.0,4.447050775
1126000000.0,394702.0,4.788422658
1126052000.0,24865.0,4.343454655
1126054000.0,18972.0,4.743833017
1126055000.0,14537.0,4.884088877
1126056500.0,34622.0,4.621339033
1126057000.0,22386.0,5.315822389
1126057500.0,25576.0,3.558023147
1126058000.0,24763.0,5.16900214
1126059000.0,19899.0,6.482737826
1126060000.0,20224.0,6.576344937
1126061000.0,25578.0,3.792321526
1126062000.0,35399.0,4.378654764
1126063000.0,19428.0,4.786905497
1126065500.0,30431.0,4.041930926
1126066000.0,17127.0,4.087113914
1126068000.0,39681.0,4.712582848
1126069000.0,21214.0,6.410860752
1129000000.0,437153.0,4.730609192
1129052500.0,16868.0,4.564856533
1129055500.0,23580.0,3.011026293
1129057500.0,15610.0,3.010890455
1129058000.0,15292.0,4.642950562
1129059000.0,24589.0,4.717556631
1129060000.0,15093.0,2.650235208
1129061000.0,15768.0,5.327245053
1129062000.0,18677.0,4.818761043
1129063000.0,23501.0,4.85085741
1129064000.0,15541.0,4.375522811
1129065000.0,25609.0,5.388730524
1129066000.0,36402.0,5.274435471
1129068500.0,17051.0,7.565538678
1129070500.0,39786.0,4.951490474
1129071500.0,26918.0,5.052381306
1129072500.0,19928.0,4.014452027
1129076000.0,20268.0,3.45372015
1129077000.0,13867.0,2.812432393
1129078000.0,17200.0,8.604651163
1129081000.0,35605.0,4.521836821
1130500000.0,308055.0,3.424713119
1130553400.0,24555.0,4.398289554
1130553500.0,22213.0,2.476027551
1130554500.0,30353.0,4.249991764
1130555500.0,27439.0,2.441779948
1130557500.0,31993.0,4.62601194
1130559500.0,19059.0,3.095650349
1130560300.0,16435.0,3.407362336
1130560800.0,17540.0,2.964652223
1130561500.0,21219.0,3.958716245
1130562500.0,21460.0,3.494874185
1130563500.0,23531.0,2.167353704
1130564500.0,20939.0,3.486317398
1130566000.0,31319.0,3.129090967
1132000000.0,325257.0,3.836965845
1132051100.0,25241.0,4.239134741
1132051200.0,29643.0,4.824073137
1132051300.0,14310.0,2.935010482
1132051400.0,27195.0,4.853833425
1132051500.0,25198.0,5.198825304
1132052100.0,21660.0,2.816251154
1132052200.0,27785.0,4.822746086
1132066000.0,21790.0,3.763194126
1132067000.0,19246.0,3.948872493
1132068000.0,16769.0,3.279861649
1132068100.0,19262.0,2.491953068
1132069000.0,28975.0,2.830025884
1132070000.0,20282.0,2.711764126
1132071000.0,27901.0,3.584100928
1135000000.0,523037.0,4.353420504
1135056000.0,22446.0,3.697763521
1135057000.0,27472.0,4.695690157
1135058000.0,30605.0,6.371507924
1135059500.0,37680.0,4.458598726
1135060000.0,39760.0,5.105633803
1135061100.0,27471.0,2.875759892
1135061200.0,22665.0,2.691374366
1135061900.0,24880.0,1.72829582
1135062100.0,27465.0,1.201529219
1135062400.0,20695.0,2.705967625
1135062500.0,35446.0,4.2317892
1135063000.0,39044.0,3.457637537
1135064000.0,20535.0,3.067932798
1135066500.0,27076.0,3.323976954
1135067000.0,24667.0,2.918879475
1135069500.0,33509.0,5.371691187
1135070000.0,22914.0,13.92161997
1135071000.0,21136.0,5.677517033
1135072000.0,17571.0,5.577371806
1138000000.0,479835.0,4.486959059
1138051000.0,37396.0,6.658466146
1138052000.0,39733.0,4.681247326
1138053000.0,28441.0,3.375408741
1138055100.0,23167.0,3.237363491
1138055200.0,28885.0,3.912065086
1138056000.0,32749.0,3.328345904
1138057000.0,27240.0,3.450807636
1138058000.0,30963.0,4.456932468
1138059000.0,27569.0,9.467155138
1138060000.0,25218.0,3.648187802
1138062500.0,46556.0,3.99518859
1138063100.0,27547.0,4.973318329
1138063200.0,20805.0,3.749098774
1138064000.0,15355.0,4.754151742
1138065000.0,11189.0,3.396192689
1138069000.0,57022.0,3.998456736
1141000000.0,312173.0,5.000432453
1141052000.0,17784.0,5.847953216
1141055500.0,16637.0,9.196369538
1141056500.0,20807.0,4.421588888
1141058500.0,19264.0,3.218438538
1141061500.0,36311.0,3.828041089
1141062000.0,24340.0,4.971240756
1141064000.0,15819.0,4.235413111
1141065500.0,14228.0,5.060444195
1141066000.0,23013.0,4.432277408
1141068500.0,26992.0,4.075281565
1141069000.0,15894.0,7.801686171
1141070000.0,30054.0,5.090836494
1141071000.0,18440.0,6.344902386
1141072000.0,32590.0,4.449217551
1144000000.0,371890.0,5.52582753
1144055500.0,25749.0,10.87420871
1144056500.0,38101.0,5.747880633
1144058500.0,21753.0,7.12545396
1144059000.0,21832.0,7.557713448
1144060000.0,14410.0,4.163775156
1144061000.0,12104.0,5.452742895
1144063000.0,23199.0,6.595111858
1144065500.0,24674.0,5.187646916
1144066000.0,25327.0,3.514036404
1144068000.0,18229.0,5.046903286
1144069000.0,20802.0,4.374579367
1144070000.0,19014.0,4.31261176
1144071000.0,15605.0,3.8449215
1144072000.0,19342.0,3.929273084
1144073000.0,40355.0,5.4516169
1144074000.0,31394.0,3.790533223
1147000000.0,454251.0,4.198119542
1147051000.0,31581.0,3.324783889
1147052000.0,30460.0,5.745239659
1147053000.0,22469.0,7.610485558
1147054000.0,25974.0,2.502502503
1147055000.0,42215.0,2.321449722
1147056000.0,20929.0,3.822447322
1147057000.0,21343.0,4.638523169
1147058000.0,15751.0,4.31718621
1147059000.0,18403.0,4.564473184
1147060000.0,15044.0,5.716564743
1147061000.0,13748.0,5.819028222
1147061100.0,20519.0,3.703884205
1147062000.0,20949.0,3.007303451
1147063000.0,20047.0,1.795779917
1147064000.0,46393.0,5.582738775
1147065000.0,33521.0,4.415142746
1147067000.0,25014.0,3.558007516
1147068000.0,29891.0,4.181860761
1150000000.0,580185.0,5.899842292
1150051000.0,41894.0,8.091850862
1150052000.0,24145.0,7.496376061
1150053000.0,21099.0,5.829660173
1150053500.0,31478.0,6.1630345
1150054000.0,52358.0,6.933037931
1150055000.0,18442.0,5.693525648
1150056000.0,21785.0,4.360798715
1150057000.0,21108.0,5.211294296
1150059000.0,34581.0,5.667852289
1150059100.0,24934.0,4.491858506
1150059300.0,25223.0,5.391904214
1150060300.0,34184.0,5.324128247
1150060400.0,14500.0,4.896551724
1150060500.0,15477.0,10.66098081
1150061100.0,37390.0,4.653650709
1150061500.0,43778.0,4.157339303
1150062000.0,26939.0,7.461301459
1150063000.0,44305.0,5.462137456
1150064000.0,23122.0,4.973618199
